uuid, study, function, error_line, error_message, L_ij, E_ij, K_ij, F_ij compiling, F_ij passing tests
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_deduplicate,deduplicate.c:40:20,heap-use-after-free on,22,1,0.0455,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_item_to_string,item_to_string.c:30:9,stack-buffer-overflow on,6,1,0.1667,20,12
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:49:9,heap-buffer-overflow on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:50:17,SEGV on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:46:12,SEGV on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:46:12,attempting free,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:46:12,heap-buffer-overflow on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:48:35,SEGV on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:48:35,heap-buffer-overflow on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:47:21,heap-buffer-overflow on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_load,load.c:51:20,SEGV on,29,9,0.3103,12,4
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:31:20,SEGV on,24,2,0.0833,12,9
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:39:34,SEGV on,24,2,0.0833,12,9
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,list_swap_item_positions,swap_item_positions.c:64:25,SEGV on,45,1,0.0222,11,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_add_item_at_pos,add_item_at_pos.c:63:30,SEGV on,44,2,0.0455,28,18
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_add_item_at_pos,add_item_at_pos.c:73:34,SEGV on,44,2,0.0455,28,18
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_item_to_string,item_to_string.c:34:5,stack-buffer-overflow on,9,1,0.1111,28,23
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:46:11,SEGV on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:46:11,heap-buffer-overflow on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:46:11,stack-use-after-scope on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:47:16,heap-buffer-overflow on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:47:16,stack-use-after-scope on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_load,load.c:50:46,SEGV on,27,6,0.2222,19,4
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_print,print.c:52:9,SEGV on,22,3,0.1364,29,14
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_print,print.c:52:9,heap-buffer-overflow on,22,3,0.1364,29,14
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_print,print.c:53:9,heap-buffer-overflow on,22,3,0.1364,29,14
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_remove_item_at_pos,remove_item_at_pos.c:51:30,SEGV on,40,4,0.1,22,16
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_remove_item_at_pos,remove_item_at_pos.c:38:30,SEGV on,40,4,0.1,22,16
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_remove_item_at_pos,remove_item_at_pos.c:59:20,SEGV on,40,4,0.1,22,16
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_remove_item_at_pos,remove_item_at_pos.c:59:35,SEGV on,40,4,0.1,22,16
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_swap_item_positions,swap_item_positions.c:37:24,SEGV on,38,2,0.0526,23,7
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_swap_item_positions,swap_item_positions.c:45:25,SEGV on,38,2,0.0526,23,7
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_update_item_at_pos,update_item_at_pos.c:38:26,SEGV on,25,2,0.08,26,19
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_update_item_at_pos,update_item_at_pos.c:44:24,SEGV on,25,2,0.08,26,19
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_add_item_at_pos,add_item_at_pos.c:63:30,SEGV on,44,2,0.0455,28,18
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,list_add_item_at_pos,add_item_at_pos.c:73:34,SEGV on,44,2,0.0455,28,18
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_add_item_at_pos,add_item_at_pos.c:45:9,unknown-crash on,38,2,0.0526,28,18
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_add_item_at_pos,add_item_at_pos.c:45:9,SEGV on,38,2,0.0526,28,18
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_item_to_string,item_to_string.c:31:5,stack-buffer-overflow on,6,1,0.1667,28,23
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_update_item_at_pos,update_item_at_pos.c:30:9,heap-buffer-overflow on,28,3,0.1071,26,19
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_update_item_at_pos,update_item_at_pos.c:30:9,SEGV on,28,3,0.1071,26,19
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_update_item_at_pos,update_item_at_pos.c:29:27,SEGV on,28,3,0.1071,26,19
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_add_item_at_pos,add_item_at_pos.c:45:9,unknown-crash on,38,2,0.0526,28,18
0ed7147a-475a-438b-8eee-c19d9d380739,Active,list_add_item_at_pos,add_item_at_pos.c:45:9,SEGV on,38,2,0.0526,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:47:25,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:48:28,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:49:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:67:21,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:68:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:70:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:71:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:36,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_item_to_string,item_to_string.c:33:9,stack-buffer-overflow on,10,1,0.1,28,23
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:47:25,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:48:28,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:49:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:67:21,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:68:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:70:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:71:20,stack-buffer-overflow on,40,10,0.25,28,18
